"id","model","name","transient","field_id","field_id/field_description","field_id/name","field_id/ttype","field_id/model","field_id/selection_ids","field_id/selection_ids/name","field_id/selection_ids/value"
"","","","","","","","","","9th Grade","9th Grade","9th Grade"
"","","","","","","","","","10th Grade","10th Grade","10th Grade"
"","","","","","","","","","11th Grade","11th Grade","11th Grade"
"","","","","","","","","","12th Grade","12th Grade","12th Grade"
"","","","","Age (Player)","Age","x_studio_integer_field_7h_1jf1916jk","integer","x_player","","",""
"","","","","Jersey Number (Player)","Jersey Number","x_studio_jersey_number","integer","x_player","","",""
"","","","","Jersey Number Text (Player)","Jersey Number Text","x_studio_jersey_number_text","char","x_player","","",""
"","","","","Pants Size (Player)","Pants Size","x_studio_pants_size_text","char","x_player","","",""
"","","","","Parent or Guardian Phone (Player)","Parent or Guardian Phone","x_studio_parent_guardian_phone","char","x_player","","",""
"","","","","Position (Player)","Position","x_studio_position","selection","x_player","PG","PG","PG"
"","","","","","","","","","SG","SG","SG"
"","","","","","","","","","SF","SF","SF"
"","","","","","","","","","PF","PF","PF"
"","","","","","","","","","C","C","C"
"","","","","Registration Notes (Player)","Registration Notes","x_studio_registration_notes","html","x_player","","",""
"","","","","Shirt Size (Player)","Shirt Size","x_studio_shirt_size_text","char","x_player","","",""
"","","","","Size Camisa (Player)","Size Camisa","x_studio_size_camisa","selection","x_player","YS","YS","YS"
"","","","","","","","","","YM","YM","YM"
"","","","","","","","","","YL","YL","YL"
"","","","","","","","","","YXL","YXL","YXL"
"","","","","","","","","","S","S","S"
"","","","","","","","","","M","M","M"
"","","","","","","","","","L","L","L"
"","","","","","","","","","XL","XL","XL"
"","","","","","","","","","2XL","2XL","2XL"
"","","","","Size Pantalón (Player)","Size Pantalón","x_studio_size_pantalon_1","selection","x_player","YS","YS","YS"
"","","","","","","","","","YM","YM","YM"
"","","","","","","","","","YL","YL","YL"
"","","","","","","","","","YXL","YXL","YXL"
"","","","","","","","","","S","S","S"
"","","","","","","","","","M","M","M"
"","","","","","","","","","L","L","L"
"","","","","","","","","","XL","XL","XL"
"","","","","","","","","","2XL","2XL","2XL"
"","","","","Stats (Player)","Stats","x_studio_stats","one2many","x_player","","",""
"","","","","Team (Player)","Team","x_studio_team","many2one","x_player","","",""
"","","","","Total Points (Player)","Total Points","x_total_points","integer","x_player","","",""
"studio_customization.player_game_stat_a0cece32-29bd-4a69-9d3e-3d6c70f5387f","x_player_game_stat","Player Game Stat","","Created on (Player Game Stat)","Created on","create_date","datetime","x_player_game_stat","","",""
"","","","","Created by (Player Game Stat)","Created by","create_uid","many2one","x_player_game_stat","","",""
"","","","","Display Name (Player Game Stat)","Display Name","display_name","char","x_player_game_stat","","",""
"","","","","ID (Player Game Stat)","ID","id","integer","x_player_game_stat","","",""
"","","","","Last Updated on (Player Game Stat)","Last Updated on","write_date","datetime","x_player_game_stat","","",""
"","","","","Last Updated by (Player Game Stat)","Last Updated by","write_uid","many2one","x_player_game_stat","","",""
"","","","","Activo (Player Game Stat)","Activo","x_active","boolean","x_player_game_stat","","",""
"","","","","Descripción (Player Game Stat)","Descripción","x_name","char","x_player_game_stat","","",""
"","","","","2PT Attempted (Player Game Stat)","2PT Attempted","x_studio_2pa","integer","x_player_game_stat","","",""
"","","","","2PT Made (Player Game Stat)","2PT Made","x_studio_2pm","integer","x_player_game_stat","","",""
"","","","","3PT Attempted (Player Game Stat)","3PT Attempted","x_studio_3pa","integer","x_player_game_stat","","",""
"","","","","3PT Made (Player Game Stat)","3PT Made","x_studio_3pm","integer","x_player_game_stat","","",""
"","","","","Assists (Player Game Stat)","Assists","x_studio_assists","integer","x_player_game_stat","","",""
"","","","","Blocks (Player Game Stat)","Blocks","x_studio_blocks","integer","x_player_game_stat","","",""
"","","","","Defensive Rebounds (Player Game Stat)","Defensive Rebounds","x_studio_def_rebounds","integer","x_player_game_stat","","",""
"","","","","Fouls (Player Game Stat)","Fouls","x_studio_fouls","integer","x_player_game_stat","","",""
"","","","","Free Throws Attempted (Player Game Stat)","Free Throws Attempted","x_studio_fta","integer","x_player_game_stat","","",""
"","","","","Free Throws Made (Player Game Stat)","Free Throws Made","x_studio_ftm","integer","x_player_game_stat","","",""
"","","","","Game (Player Game Stat)","Game","x_studio_game","many2one","x_player_game_stat","","",""
"","","","","New Integer (Player Game Stat)","New Integer","x_studio_integer_field_5el_1jf0uibhg","integer","x_player_game_stat","","",""
"","","","","Offensive Rebounds (Player Game Stat)","Offensive Rebounds","x_studio_off_rebounds","integer","x_player_game_stat","","",""
"","","","","OT (Player Game Stat)","OT","x_studio_ot","integer","x_player_game_stat","","",""
"","","","","Player (Player Game Stat)","Player","x_studio_player","many2one","x_player_game_stat","","",""
"","","","","Q1 (Player Game Stat)","Q1","x_studio_q1","integer","x_player_game_stat","","",""
"","","","","Q2 (Player Game Stat)","Q2","x_studio_q2","integer","x_player_game_stat","","",""
"","","","","Q3 (Player Game Stat)","Q3","x_studio_q3","integer","x_player_game_stat","","",""
"","","","","Q4 (Player Game Stat)","Q4","x_studio_q4","integer","x_player_game_stat","","",""
"","","","","Team (Player Game Stat)","Team","x_studio_related_field_7hr_1jf0tn6sg","many2one","x_player_game_stat","","",""
"","","","","Steals (Player Game Stat)","Steals","x_studio_steals","integer","x_player_game_stat","","",""
"","","","","Total Points (Player Game Stat)","Total Points","x_studio_total_points","integer","x_player_game_stat","","",""
"","","","","Turnovers (Player Game Stat)","Turnovers","x_studio_turnovers","integer","x_player_game_stat","","",""
"","","","","Website Description (Player Game Stat)","Website Description","x_studio_website_description","html","x_player_game_stat","","",""
"__export__.ir_model_892_6553169b","x_team_staff","Team Staff","","Created on (Team Staff)","Created on","create_date","datetime","x_team_staff","","",""
"","","","","Created by (Team Staff)","Created by","create_uid","many2one","x_team_staff","","",""
"","","","","Display Name (Team Staff)","Display Name","display_name","char","x_team_staff","","",""
"","","","","ID (Team Staff)","ID","id","integer","x_team_staff","","",""
"","","","","Last Updated on (Team Staff)","Last Updated on","write_date","datetime","x_team_staff","","",""
"","","","","Last Updated by (Team Staff)","Last Updated by","write_uid","many2one","x_team_staff","","",""
"","","","","Name (Team Staff)","Name","x_name","char","x_team_staff","","",""
"","","","","Role (Team Staff)","Role","x_studio_role","char","x_team_staff","","",""
"","","","","Team (Team Staff)","Team","x_studio_team_id","many2one","x_team_staff","","",""
